0.01	88.22986213    	129.49185949 	280.13094784    288.7298924468253      279.0511918371907                 
0.05	91.48603852 	131.52432997	287.52759683    277.6863887051115      284.464646723316
0.1	95.56446598 	137.25486434	296.49496563    295.8780609352706      294.0003444241651
0.5	125.74520410 	170.63944345	352.78644053    365.71623559518866     348.96815395549675
1	158.46445197 	210.85784381	410.34294044    399.8027854136654       0.0
2	219.02617669	278.14640090	520.18399335    501.4082454166614       0.0   
5	344.98832164 	430.64158006	681.15558188    683.3703646289124       0.0   
10	433.46427134 	555.28981340	825.50815635    834.6484516864101       0.0
25	577.24859212 	681.78755928	998.21011209    986.0061130239375       0.0  
50	715.99679009	798.39488333	1042.4735950    1063.0338673929746      0.0
100	770.11802717	829.61263318	1094.2737166    1091.5831179958607      0.0   
